commune;communeLabel;latitude;longitude;superficie
http://www.wikidata.org/entity/Q18521484;Q18521484;50.73;2.061944444;
http://www.wikidata.org/entity/Q65300099;Q65300099;43.483;0.544;
http://www.wikidata.org/entity/Q2820107;Aas;42.98333333;-0.4;
http://www.wikidata.org/entity/Q198483;Aast;43.289166666;-0.090277777;4.75
http://www.wikidata.org/entity/Q59411;Abainville;48.531388888;5.494444444;13.67
http://www.wikidata.org/entity/Q1046381;Abancourt;50.234166666;3.213333333;5.67
http://www.wikidata.org/entity/Q1098767;Abancourt;49.696944444;1.765;6.01
http://www.wikidata.org/entity/Q109574455;Abancourt;49.591;1.62327;
http://www.wikidata.org/entity/Q269866;Abaucourt;48.896944444;6.258055555;7.8
http://www.wikidata.org/entity/Q228231;Abaucourt-Hautecourt;49.196944444;5.539722222;9.68
http://www.wikidata.org/entity/Q305853;Abbans-Dessous;47.133611111;5.874444444;3.2
http://www.wikidata.org/entity/Q305854;Abbans-Dessus;47.12;5.881944444;4.43
http://www.wikidata.org/entity/Q1001990;Abbaretz;47.5525;-1.53167;61.76
http://www.wikidata.org/entity/Q1001990;Abbaretz;47.5525;-1.531666666;61.76
http://www.wikidata.org/entity/Q1001990;Abbaretz;47.553055555;-1.531944444;61.76
http://www.wikidata.org/entity/Q109575819;Abbas;44.36939;2.41512;
http://www.wikidata.org/entity/Q1346665;Abbecourt;49.355555555;2.158611111;7.44
http://www.wikidata.org/entity/Q306217;Abbenans;47.5;6.450555555;11.17
http://www.wikidata.org/entity/Q28520;Abbeville;50.105277777;1.835277777;26.42
http://www.wikidata.org/entity/Q99582038;Abbeville;48.934519;0.005687;
http://www.wikidata.org/entity/Q1106555;Abbeville-Saint-Lucien;49.516944444;2.169722222;5.26
http://www.wikidata.org/entity/Q237418;Abbécourt;49.595555555;3.179722222;5.96
http://www.wikidata.org/entity/Q249366;Abbéville-la-Rivière;48.346388888;2.166666666;15.02
http://www.wikidata.org/entity/Q1087158;Abbéville-lès-Conflans;49.197777777;5.844444444;7.73
http://www.wikidata.org/entity/Q306958;Abbévillers;47.431388888;6.918333333;11.18
http://www.wikidata.org/entity/Q200654;Abeilhan;43.449722222;3.294722222;7.81
http://www.wikidata.org/entity/Q318570;Abelcourt;47.785277777;6.290277777;7.46
http://www.wikidata.org/entity/Q2821554;Abense-de-Bas;43.25841667;-0.880624;
http://www.wikidata.org/entity/Q2821556;Abense-de-Haut;43.11098611;-0.86446111;
http://www.wikidata.org/entity/Q82957453;Abergement-Saint-Jean;46.89;5.360277777;
http://www.wikidata.org/entity/Q657807;Abergement-la-Ronce;47.07;5.369166666;7.12
http://www.wikidata.org/entity/Q1067551;Abergement-le-Grand;46.913611111;5.681388888;4.22
http://www.wikidata.org/entity/Q1069018;Abergement-le-Petit;46.9025;5.695555555;1.52
http://www.wikidata.org/entity/Q124251201;Abergement-lès-Malange;47.1767;5.6258;
http://www.wikidata.org/entity/Q319615;Abergement-lès-Thésy;46.917222222;5.939722222;4.63
http://www.wikidata.org/entity/Q856780;Abidos;43.398611111;-0.624166666;3.06
http://www.wikidata.org/entity/Q1069923;Abilly;46.941111111;0.727777777;30.27
http://www.wikidata.org/entity/Q844039;Abitain;43.420555555;-0.989166666;6.59
http://www.wikidata.org/entity/Q321807;Abjat-sur-Bandiat;45.585;0.758055555;27.62
http://www.wikidata.org/entity/Q318255;Ablain-Saint-Nazaire;50.392222222;2.7125;9.85
http://www.wikidata.org/entity/Q28526;Ablaincourt-Pressoir;49.839722222;2.821944444;9.46
http://www.wikidata.org/entity/Q288543;Ablainzevelle;50.152222222;2.731388888;4.32
http://www.wikidata.org/entity/Q762205;Ablancourt;48.813611111;4.521944444;7.07
http://www.wikidata.org/entity/Q322322;Ableiges;49.090277777;1.981388888;8.03
http://www.wikidata.org/entity/Q109572175;Ableville;49.38;0.30321;
http://www.wikidata.org/entity/Q322435;Ablis;48.516666666;1.835555555;25.92
http://www.wikidata.org/entity/Q844045;Ablon;49.393333333;0.295555555;12
http://www.wikidata.org/entity/Q1108377;Ablon-sur-Seine;48.725555555;2.421111111;1.11
http://www.wikidata.org/entity/Q21781;Aboncourt;49.260555555;6.346944444;5.9
http://www.wikidata.org/entity/Q668451;Aboncourt;48.358055555;5.966944444;6.93
http://www.wikidata.org/entity/Q124418497;Aboncourt;47.7717;5.9837;
http://www.wikidata.org/entity/Q322844;Aboncourt-Gesincourt;47.771944444;5.973055555;10.68
http://www.wikidata.org/entity/Q21615;Aboncourt-sur-Seille;48.816388888;6.339444444;3.63
http://www.wikidata.org/entity/Q322895;Abondance;46.278888888;6.721944444;58.84
http://www.wikidata.org/entity/Q1140234;Abondant;48.784722222;1.439166666;34.8
http://www.wikidata.org/entity/Q1058423;Abos;43.358055555;-0.563055555;8.45
http://www.wikidata.org/entity/Q2821718;Abos;43.35831;-0.56314;
http://www.wikidata.org/entity/Q1002072;Aboën;45.413611111;4.131666666;8.96
http://www.wikidata.org/entity/Q21918;Abreschviller;48.636944444;7.096666666;41.29
http://www.wikidata.org/entity/Q274683;Abrest;46.098611111;3.444722222;10.46
http://www.wikidata.org/entity/Q331508;Abriès;44.795277777;6.927222222;77.13
http://www.wikidata.org/entity/Q57664391;Abriès-Ristolas;44.796111;6.927777;159.31
http://www.wikidata.org/entity/Q638698;Abscon;50.334166666;3.302222222;7.27
http://www.wikidata.org/entity/Q236592;Abzac;45.016666666;-0.128055555;13.44
http://www.wikidata.org/entity/Q1350258;Abzac;46.102777777;0.704166666;33.35
http://www.wikidata.org/entity/Q541651;Abère;43.389722222;-0.175555555;5.81
http://www.wikidata.org/entity/Q339327;Accolans;47.494444444;6.531944444;5.18
http://www.wikidata.org/entity/Q339335;Accolay;47.660833333;3.708888888;9.27
http://www.wikidata.org/entity/Q239640;Accons;44.886111111;4.386944444;9.87
http://www.wikidata.org/entity/Q309144;Accous;42.973888888;-0.599722222;60.68
http://www.wikidata.org/entity/Q21626;Achain;48.913611111;6.592222222;4.79
http://www.wikidata.org/entity/Q22094;Achen;49.043333333;7.182777777;12.12
http://www.wikidata.org/entity/Q22784;Achenheim;48.581111111;7.626944444;6.03
http://www.wikidata.org/entity/Q244537;Achery;49.692222222;3.389722222;6.9
http://www.wikidata.org/entity/Q27987;Acheux-en-Amiénois;50.073611111;2.532777777;7.07
http://www.wikidata.org/entity/Q27988;Acheux-en-Vimeu;50.065555555;1.6775;12.33
http://www.wikidata.org/entity/Q984772;Acheville;50.383333333;2.883055555;3.04
http://www.wikidata.org/entity/Q816910;Achey;47.574166666;5.607777777;7.05
http://www.wikidata.org/entity/Q275725;Achicourt;50.273333333;2.759444444;5.94
http://www.wikidata.org/entity/Q507822;Achiet-le-Grand;50.130555555;2.7825;5.08
http://www.wikidata.org/entity/Q990574;Achiet-le-Petit;50.123888888;2.751388888;7.25
http://www.wikidata.org/entity/Q858080;Achun;47.124444444;3.680277777;24.51
http://www.wikidata.org/entity/Q302290;Achy;49.556388888;1.979166666;12.7
http://www.wikidata.org/entity/Q2823167;Achâtel;48.942777777;6.301388888;
http://www.wikidata.org/entity/Q245504;Achères;48.962222222;2.068611111;9.44
http://www.wikidata.org/entity/Q1139926;Achères;47.278333333;2.448611111;12.75
http://www.wikidata.org/entity/Q109572747;Achères;48.5814;1.3752;
http://www.wikidata.org/entity/Q341253;Achères-la-Forêt;48.345555555;2.565;12.6
http://www.wikidata.org/entity/Q1021782;Acigné;48.134166666;-1.536666666;29.55
http://www.wikidata.org/entity/Q341962;Aclou;49.170277777;0.704722222;3.7
http://www.wikidata.org/entity/Q511500;Acon;48.772777777;1.090833333;9.16
http://www.wikidata.org/entity/Q2086991;Acoua;-12.721944444;45.056666666;13.11
http://www.wikidata.org/entity/Q990495;Acq;50.347777777;2.656944444;4.86
http://www.wikidata.org/entity/Q109576425;Acquebouille;48.20306;2.06446;
http://www.wikidata.org/entity/Q109574544;Acquet;50.22713;2.05683;
http://www.wikidata.org/entity/Q375805;Acqueville;48.971666666;-0.366666666;6.65
http://www.wikidata.org/entity/Q978186;Acqueville;49.609722222;-1.749166666;5.79
http://www.wikidata.org/entity/Q342546;Acquigny;49.172777777;1.178333333;17.83
